iter	Logloss
237	0.2453673972
238	0.2446992563
239	0.2443392787
240	0.244010186
241	0.2437553208
242	0.2434897637
243	0.243040408
244	0.2425051878
245	0.2418255656
246	0.2414622479
247	0.2409432466
248	0.2403771853
249	0.2397606902
250	0.2394106417
251	0.2388863756
252	0.2384451771
253	0.2378371564
254	0.2372952877
255	0.2367469646
256	0.2361835096
257	0.2358207224
258	0.2353181635
259	0.2347392226
260	0.2341702738
261	0.2334823685
262	0.233214946
263	0.2327274018
264	0.2324322668
265	0.2320817957
266	0.2316285459
267	0.2311700264
268	0.2309091604
269	0.2306553292
270	0.230257799
271	0.2296383468
272	0.2292728026
273	0.2285789891
274	0.2277959276
275	0.2273317562
276	0.2270281684
277	0.2267697506
278	0.2263853434
279	0.2258232532
280	0.2254908338
281	0.2250583351
282	0.2248196383
283	0.2244197405
284	0.2240855095
285	0.2234429799
286	0.2230926628
287	0.2228145689
288	0.2224685463
289	0.2221278463
290	0.2215925679
291	0.2210796024
292	0.2203969916
293	0.2201478897
294	0.2197316891
295	0.2190841349
296	0.2185622668
297	0.2183407679
298	0.2181041049
299	0.2177025917
300	0.2172237406
301	0.2167290827
302	0.2162637573
303	0.2158735047
304	0.2154220872
305	0.2147721723
306	0.2144917482
307	0.2141579527
308	0.2137524008
309	0.213438836
310	0.2130951868
311	0.2125428121
312	0.2119877896
313	0.2116854873
314	0.2114516238
315	0.2111130695
316	0.2108189
317	0.2102167548
318	0.2099699879
319	0.2093378034
320	0.2087995345
321	0.208276936
322	0.2076512089
323	0.207410823
324	0.2072376286
325	0.2067925137
326	0.206499336
327	0.2062162299
328	0.2058936054
329	0.2053052439
330	0.2048397077
331	0.2045254014
332	0.2041783939
333	0.2038598516
334	0.2036518232
335	0.2032226047
336	0.2027254771
337	0.2022427017
338	0.2017202406
339	0.2013125501
340	0.2007289553
341	0.2004415303
342	0.2001043166
343	0.1998252899
344	0.1994996678
345	0.1992625417
346	0.1987334931
347	0.1981533728
348	0.1976680169
349	0.1972239494
350	0.1967986685
351	0.1965341746
352	0.1963361725
353	0.1959868225
354	0.1955735996
355	0.1953680897
356	0.1950451361
357	0.1947290198
358	0.1943081962
359	0.1937606614
360	0.1934211248
361	0.1931197378
362	0.1924608275
363	0.1919164292
364	0.1915448842
365	0.1912066844
366	0.1908556731
367	0.1904079283
368	0.1901492606
369	0.1896200787
370	0.1893289866
371	0.1890248052
372	0.1885259325
373	0.1882897661
374	0.1878334837
375	0.1875526781
376	0.1872579271
377	0.1867625476
378	0.186473796
379	0.1860316831
380	0.1857317817
381	0.1854331871
382	0.185061782
383	0.1847953114
384	0.1845686383
385	0.1842789343
386	0.1840385728
387	0.1838368471
388	0.183486009
389	0.1829827922
390	0.1825056294
391	0.1820504156
392	0.1816826519
393	0.181381432
394	0.1809500716
395	0.1805396285
396	0.1802435655
397	0.1798739749
398	0.1795043186
399	0.1792814269
400	0.1788888307
401	0.1786634037
402	0.1783160051
403	0.1780505787
404	0.1776967958
405	0.1772891072
406	0.1768437546
407	0.1764593513
408	0.1761168764
409	0.1757665553
410	0.1755335148
411	0.1753609131
412	0.1750830791
413	0.1747745896
414	0.1744273828
415	0.1740867911
416	0.1736648206
417	0.1733245182
418	0.1730573718
419	0.1726045132
420	0.1723606963
421	0.1721711918
422	0.1719540236
423	0.1716968859
424	0.1715671839
425	0.1712979152
426	0.1708591472
427	0.1705980663
428	0.1702568239
429	0.1699593255
430	0.1695215159
431	0.1692686622
432	0.168965851
433	0.168713624
434	0.1682290628
435	0.1679215297
436	0.1677086916
437	0.1673960592
438	0.1671861523
439	0.1666693043
440	0.1664449244
441	0.1662698829
442	0.1660422722
443	0.1657368731
444	0.1654202395
445	0.1649531476
446	0.1647323534
447	0.1645030337
448	0.1641534614
449	0.1638176306
450	0.1636389569
451	0.1632536846
452	0.162902537
453	0.1626305517
454	0.1623143491
455	0.1618838442
456	0.1616597959
457	0.1612752758
458	0.1609673819
459	0.1607188561
460	0.1603740447
461	0.1600754606
462	0.1596746058
463	0.1594764636
464	0.1590819601
465	0.1588772404
466	0.158509538
467	0.1581680035
468	0.1579891204
469	0.1578219044
470	0.1575479178
471	0.1571258215
472	0.1569233218
473	0.1566843278
474	0.1565214826
475	0.1562526436
476	0.1558006032
477	0.1555417594
478	0.1553514456
479	0.1550665953
480	0.1546369855
481	0.1543636887
482	0.1540617109
483	0.1538435956
484	0.1535814726
485	0.1534315396
486	0.153210585
487	0.1529182626
488	0.1526914104
489	0.1524181949
490	0.1521765807
491	0.1520025681
492	0.1517165978
493	0.1514752366
494	0.1510951351
495	0.1509540259
496	0.1505247152
497	0.1502262296
498	0.1500748097
499	0.1498346942
